name,bus,control,p_nom,type,weather_cell_id,subtype,min_up_time,min_down_time,up_time_before,down_time_before
Generator_mvgd_40_lvgd_3992000000_solar_ground_mounted_232734,Bus_mvgd_40_lvgd_3992000000_gen_232734,PQ,0.005,solar,1126074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4337000000_solar_roof_mounted_233104,Bus_mvgd_40_lvgd_4337000000_gen_233104,PQ,0.007,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4337000000_solar_roof_mounted_233143,Bus_mvgd_40_lvgd_4337000000_gen_233143,PQ,0.006,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4337000000_solar_roof_mounted_235132,Bus_mvgd_40_lvgd_4337000000_gen_235132,PQ,0.015,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4337000000_solar_roof_mounted_235151,Bus_mvgd_40_lvgd_4337000000_gen_235151,PQ,0.027,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4487000000_solar_ground_mounted_232768,Bus_mvgd_40_lvgd_4487000000_gen_232768,PQ,0.016,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4487000000_solar_roof_mounted_232986,BranchTee_mvgd_40_lvgd_4487000000_132,PQ,0.069,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4487000000_solar_roof_mounted_233015,Bus_mvgd_40_lvgd_4487000000_gen_233015,PQ,0.006,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4487000000_solar_roof_mounted_233124,Bus_mvgd_40_lvgd_4487000000_gen_233124,PQ,0.008,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4487000000_solar_ground_mounted_235028,Bus_mvgd_40_lvgd_4487000000_gen_235028,PQ,0.006,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4488000000_solar_ground_mounted_232665,Bus_mvgd_40_lvgd_4488000000_gen_232665,PQ,0.003,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4488000000_solar_roof_mounted_233170,Bus_mvgd_40_lvgd_4488000000_gen_233170,PQ,0.1,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4488000001_solar_ground_mounted_232592,Bus_mvgd_40_lvgd_4488000001_gen_232592,PQ,0.004,solar,1127074,solar_ground_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4488000001_solar_roof_mounted_232875,Bus_mvgd_40_lvgd_4488000001_gen_232875,PQ,0.011,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4488000001_solar_roof_mounted_232915,BranchTee_mvgd_40_lvgd_4488000001_84,PQ,0.084,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4488000001_solar_roof_mounted_233053,Bus_mvgd_40_lvgd_4488000001_gen_233053,PQ,0.008,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4488000001_solar_roof_mounted_233107,Bus_mvgd_40_lvgd_4488000001_gen_233107,PQ,0.011,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4488000001_solar_roof_mounted_233126,Bus_mvgd_40_lvgd_4488000001_gen_233126,PQ,0.005,solar,1127074,solar_roof_mounted,0,0,1,0
Generator_mvgd_40_lvgd_4488000001_solar_roof_mounted_235168,Bus_mvgd_40_lvgd_4488000001_gen_235168,PQ,0.005,solar,1127074,solar_roof_mounted,0,0,1,0
